,generated_text
17,"When [CARDNAME] enters the battlefield, if you attacked with it, you may pay {1}{B}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Flying\nWhen [CARDNAME] enters the battlefield, if you attacked with it, you may pay {1}{B}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle"
18,"When [CARDNAME] enters the battlefield, you may have it deal 5 damage to target player or planeswalker.
When [CARDNAME] enters the battlefield, you may return target creature card with mana value 2 or less from your graveyard to the battlefield.
If you would draw a card, you may instead draw a card.
When [CARDNAME] enters the battlefield, create a 1/1 white Human creature token.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic Plains card"
19,"When [CARDNAME] enters the battlefield, look at the top four cards of your library. You may reveal a creature card with mana value equal to the number of lands you control and put that card into your hand. Put the rest on the bottom of your library in a random order.
Flash\nFlying\nWhenever you cast a spell, put a +1/+1 counter on [CARDNAME].\nMorph {1}{R}{R} (You may cast this card face down as a 2/2"
20,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
21,"When [CARDNAME] enters the battlefield, create a 1/1 white Human creature token that's a copy of target creature.\n{1}{W}, Sacrifice [CARDNAME]: Destroy target artifact or enchantment.
When [CARDNAME] enters the battlefield, create a 1/1 white Human creature token that's a copy of target creature.\n{1}{W}, Sacrifice [CARDNAME]: Destroy target artifact or enchantment.
[CARDNAME] can't be blocked except by creatures with flying or"
22,"When [CARDNAME] enters the battlefield, you may put target nonland permanent card with mana value 3 or less from your graveyard on top of your library.\n{1}{W}, {T}: Put target nonland permanent card with mana value 3 or less from your graveyard on top of your library.
When [CARDNAME] enters the battlefield, gain control of target creature for as long as [CARDNAME] remains on the battlefield.
Flying\n{3}{W}, {T}: Add {W"
23,"When [CARDNAME] enters the battlefield, create a 1/1 white Human creature token.
{1}{W}, {T}: Add {W}{W}.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}{W}.
[CARDNAME] enters the battlefield tapped unless you control two or more basic lands.\n{T}: Add {W}{W}.
[CARDNAME] enters the battlefield tapped unless you control two or more basic lands.\n{"
24,"When [CARDNAME] enters the battlefield, it deals damage equal to the number of cards in your hand to any target.\n{1}{W}, {T}, Sacrifice [CARDNAME]: Destroy target artifact or enchantment.
Whenever [CARDNAME] attacks, for each opponent, exile the top card of their library. You may play that card this turn.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
"
25,"When [CARDNAME] enters the battlefield, create a 2/2 white Knight creature token with vigilance that's tapped and attacking.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {C}.\n{T}, Remove a +1/+1 counter from [CARDNAME]: Add one mana of any"
26,"When [CARDNAME] enters the battlefield, sacrifice it unless you pay {1}{U}.
[CARDNAME] deals 3 damage to any target.
Haste\nWhenever [CARDNAME] attacks, you may pay {2}{U}. If you do, create a 1/1 white Human Soldier creature token.
Destroy target artifact or enchantment.
Destroy all artifacts.
Flying\nWhen [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card"
27,"When [CARDNAME] enters the battlefield, you may pay {1}{W}. If you do, return [CARDNAME] from your graveyard to your hand.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {U}.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {R}.
[CARDNAME] enters the battlefield tapped.\n{"
28,"When [CARDNAME] enters the battlefield, if it's your turn, you may return target enchantment card from your graveyard to your hand.
{3}{W}, {T}: You may cast this spell any time you could cast an instant with mana value less than or equal to the number of Swamps you control. If you cast this spell this way, exile all lands you control, then return all nonland permanents you control to their owner's hand.
Return target permanent card with mana value less than or equal to ["
29,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to any target.
[CARDNAME] deals 1 damage to any target.
[CARDNAME] deals X damage to target creature.
Flying\nWhenever [CARDNAME] deals damage, it deals that much damage to target creature defending player controls.
Flying\n{T}: Add {W}.
Flying\n{1}{W}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card"
30,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on it.\nWhenever you put one or more counters on a creature or planeswalker, put a +1/+1 counter on [CARDNAME].
{T}: Add {C}.\n{T}: Add {U} or {R}. [CARDNAME] deals 1 damage to you.
{T}: Add {C}.\n{T}: Add {B} or {G}. [CARDNAME] deals 1"
31,"When [CARDNAME] enters the battlefield, you may pay {1}{R}. If you do, return [CARDNAME] from your graveyard to your hand.
Whenever you cast an instant or sorcery spell, you may pay {1}. If you do, [CARDNAME] deals 1 damage to target player or planeswalker.
Whenever [CARDNAME] attacks, choose one —\n• Target creature gets +2/+2 until end of turn.\n• Target creature gets +2/+2 until end"
32,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, create a 2/1 white Human Soldier creature token.
{T}: Add {C}.\n{1}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] can't attack unless there are two or more basic lands on the battlefield.\n{T}, Remove a charge counter from [CARDNAME]:"
33,"When [CARDNAME] enters the battlefield, if you cast it, exile it, then return it to the battlefield under its owner's control.
Flying\nWhenever [CARDNAME] attacks, each opponent loses 2 life and you gain 2 life.
Creatures you control get +1/+1 until end of turn.
Whenever [CARDNAME] enters the battlefield or attacks, you may exile target nonland permanent. If you do, return that card to the battlefield under its owner's control.
When [C"
34,"When [CARDNAME] enters the battlefield, you may put a +1/+1 counter on it.
[CARDNAME] can't be blocked except by creatures with flying or reach.
Flying\nWhen [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] can't be blocked unless defending player controls an Island.
[CARDNAME] can't be blocked unless defending player controls an Island"
35,"When [CARDNAME] enters the battlefield, it deals 1 damage to any target.
{T}: Add one mana of any color.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped under your control, then shuffle.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped under your control"
36,"When [CARDNAME] enters the battlefield, it deals damage equal to its power to target creature an opponent controls.
When [CARDNAME] enters the battlefield, it deals damage equal to its power to target creature an opponent controls.
{B}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card"
37,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on target creature.
[CARDNAME] can't be blocked except by Walls.
Whenever [CARDNAME] becomes the target of a spell, destroy target nonbasic land.
[CARDNAME] can't be blocked except by Walls.
Whenever [CARDNAME] becomes the target of a spell, destroy target nonbasic land.
[CARDNAME] can't be blocked except by Walls.
You may have [C"
38,"When [CARDNAME] enters the battlefield, you may put a +1/+1 counter on target creature.\n{T}: Add {C}.
When [CARDNAME] enters the battlefield, you may put a +1/+1 counter on target creature.\n{T}: Add {C}.
{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell.
{T}: Add {C}.\n{T}: Add"
39,"When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.\nWhenever you create a 1/1 white Human Soldier creature token, put a +1/+1 counter on [CARDNAME].
Flying\nWhenever [CARDNAME] attacks, if you attacked with one or more creatures with flying this combat, you may draw a card.
Whenever you cast a spell, you may draw a card.
Whenever you cast a spell, you may draw a card.
Whenever you"
40,"When [CARDNAME] enters the battlefield, you may exile target creature you control. If you do, create a token that's a copy of that creature, except it's a 4/4 black and green Horror Rogue creature with deathtouch and lifelink.
When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.\nWhenever you cast an instant or sorcery spell, create a 1/1 white Spirit creature token with flying.
When [CARDNAME] enters the battlefield"
41,"When [CARDNAME] enters the battlefield, if you cast it, you may return target creature card with mana value X from your graveyard to your hand.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for an Island card, put it onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {U}.\n{U}, {T}, Sacrifice [CARDNAME]: Search your library for a Forest"
42,"When [CARDNAME] enters the battlefield, sacrifice it unless you discard a card at random.
{T}: Add {C}.\n{T}: Add {W} or {U}. [CARDNAME] deals 1 damage to you.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {B}.\n{T}, Remove a charge counter from [CARDNAME]: Add {W}.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {"
43,"When [CARDNAME] enters the battlefield, choose target creature card in your graveyard. If it's a creature card, create a 1/1 white Human Soldier creature token.
Enchant creature\nWhenever enchanted creature attacks, put a +1/+1 counter on it.\nEnchanted creature gets +2/+1 and has ""Whenever this creature attacks, you may sacrifice a creature.""
When [CARDNAME] enters the battlefield, gain control of target artifact with mana value less than or equal to the number of creature"
44,"When [CARDNAME] enters the battlefield, you may return target creature card with mana value X from your graveyard to your hand.
When [CARDNAME] enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
When [CARDNAME] enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
[CARDNAME] can't be blocked except by creatures with flying or"
45,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {R}.\n{T}, Remove an X/X green Treefolk creature token from your hand"
46,"When [CARDNAME] enters the battlefield, it deals X damage to target creature an opponent controls, where X is the number of creatures you control.
Choose one —\n• Target creature gets +1/+1 and gains first strike until end of turn.\n• Target creature gets +2/+2 and gains lifelink until end of turn.\n• Target creature gets -1/-1 until end of turn.
Flying, vigilance\n{1}{W}: [CARDNAME] gets +1/+"
47,"When [CARDNAME] enters the battlefield or dies, you may pay {1}. If you do, create a 1/1 white Human Soldier creature token.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{T}: Add one mana of any color.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{T}: Add one mana of any color.
[CARDNAME] enters the battlefield tapped.\"
48,"When [CARDNAME] enters the battlefield, you may pay {2}{R}. If you do, return [CARDNAME] from your graveyard to your hand.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {G}.\n{T}, Remove a +1/+1 counter from [CARDNAME]: Add one mana of any color.
{T}: Add {C}.\n{T}, Remove a +1/+1 counter from [CARDNAME]: Add one mana"
49,"When [CARDNAME] enters the battlefield, you may choose [CARDNAME] as your commander.
Whenever a creature you control dies, you may pay {W}. If you do, return that card to your hand.
Whenever [CARDNAME] attacks, defending player mills two cards.
When [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}: Add {W}.
{T}: Add {"
50,"When [CARDNAME] enters the battlefield, if you cast it, you may destroy target attacking creature.
When [CARDNAME] enters the battlefield, if you cast it, you may destroy target attacking creature.
Trample\nWhenever [CARDNAME] attacks, it gets +1/+1 until end of turn for each other attacking creature you control.
When [CARDNAME] enters the battlefield, if you cast it, you may destroy target attacking creature.
You may cast [CARDNAME] as"
51,"When [CARDNAME] enters the battlefield, you may put target creature card from your graveyard on top of your library. If you do, create a 1/1 white Human Soldier creature token.
When [CARDNAME] enters the battlefield, you may return target creature card from your graveyard to your hand.
Flying\nWhenever [CARDNAME] attacks, you may have target attacking creature gain flying until end of turn.
Flying\nWhenever [CARDNAME] attacks, you may have target attacking creature gain flying"
52,"When [CARDNAME] enters the battlefield, it deals 5 damage to target player or planeswalker.\n{T}: Add {B}{B}.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{W}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.\n{"
53,"When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.
When [CARDNAME] enters the battlefield, create a 1/1 white Soldier creature token.
Enchant creature\nEnchanted creature gets +2/+2 as long as it's a Spirit.
{T}, Discard a card: [CARDNAME] deals 1 damage to target player or planeswalker.
{T}, Discard a card: [CARDNAME] deals 1 damage to target player or"
54,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on it.\n{T}, Remove a +1/+1 counter from [CARDNAME]: Create a 2/2 green Beast creature token.
{T}, Sacrifice [CARDNAME]: Add one mana of any color.
{T}, Sacrifice [CARDNAME]: Add one mana of any color.
{T}, Sacrifice [CARDNAME]: Add one mana of any color.
{T}, Sacrifice [CARDNAME]:"
55,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\n{T}: Add {W}.
{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a noncreature spell.\nSacrifice [CARDNAME]: Add {C}.
[CARDNAME] enters the battlefield tapped.\"
56,"When [CARDNAME] enters the battlefield, create a 2/2 white Knight creature token with vigilance.
Flying\nWhen [CARDNAME] enters the battlefield, return target instant or sorcery card with mana value less than or equal to [CARDNAME]'s power from your graveyard to your hand.
[CARDNAME] deals 2 damage to any target.
[CARDNAME] deals 3 damage to any target.
[CARDNAME] deals 2 damage to any target.
[CARDNAME]"
57,"When [CARDNAME] enters the battlefield, you may return target creature card with mana value 3 or less from your graveyard to the battlefield.
[CARDNAME] deals 4 damage to target creature an opponent controls.
[CARDNAME] deals 4 damage to target creature an opponent controls.
[CARDNAME] deals 4 damage to target creature an opponent controls.
[CARDNAME] deals 4 damage to target creature an opponent controls.
[CARDNAME] deals 4 damage to target creature an opponent controls."
58,"When [CARDNAME] enters the battlefield, you may pay 2 life. If you do, return target creature card with mana value less than or equal to [CARDNAME]'s power from your graveyard to the battlefield.
{T}: Add {C}.\n{T}: Add {U}, {R}, or {G}. [CARDNAME] deals 1 damage to you.
[CARDNAME] can't be blocked by more than one creature.\n{T}: Add {W}, {U},"
59,"When [CARDNAME] enters the battlefield, sacrifice it unless you pay {1}{U}.
Whenever [CARDNAME] or another nontoken creature enters the battlefield under your control, you may create a 1/1 white Spirit creature token with flying that's tapped and attacking.
At the beginning of your upkeep, you may return target artifact, enchantment, or land card from your graveyard to your hand.
Flying\nWhenever [CARDNAME] or another nontoken creature enters the battlefield under your control, you may create"
60,"When [CARDNAME] enters the battlefield, you may exile target nonland permanent. If you do, return that card to the battlefield under its owner's control.
[CARDNAME] deals X damage to each creature without flying and each player.
[CARDNAME] deals X damage to any target.
{2}{W}, {T}, Discard a card: [CARDNAME] gets +X/+0 until end of turn, where X is its power.
{T}: Add {W}.
"
61,"When [CARDNAME] enters the battlefield, you may return target artifact card from your graveyard to your hand.
{T}, Sacrifice [CARDNAME]: Return target artifact card from your graveyard to your hand.
{T}, Sacrifice [CARDNAME]: Return target artifact card from your graveyard to your hand.
{T}, Sacrifice [CARDNAME]: Return target artifact card from your graveyard to your hand.
{T}, Sacrifice [CARDNAME]: Return target artifact card from your graveyard to your hand.
{"
62,"When [CARDNAME] enters the battlefield, it deals 1 damage to each opponent.\n{2}{U}{U}, {T}, Exile [CARDNAME]: Exile target artifact or creature. It gains haste until end of turn.
{T}: Add {C}.\n{3}{U}, {T}, Exile [CARDNAME]: Exile target creature. It gains haste until end of turn.
{T}: Add {C}.\n{3}{U}, {T}, Exile [CARDNAME"
63,"When [CARDNAME] enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n[CARDNAME] enters the battlefield tapped.\n{T}: Add {C}.\n{T}, Remove a Food token from [CARDNAME]: Add one mana of any color.
{T}: Add {C}.\n{T}, Remove a Food token from [CARDNAME]: Add one mana of any color."
64,"When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield.\n{T}: Add {C}.
When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield.\n{T}: Add {C}.
When [CARDNAME] enters the battlefield, exile target creature an opponent controls until [CARDNAME] leaves the battlefield.\n{T}: Add {C}.
When"
65,"When [CARDNAME] enters the battlefield, you may pay {2}{B}. If you do, create a 2/2 black Zombie creature token with deathtouch and lifelink.
Flying\nWhen [CARDNAME] enters the battlefield, you gain 1 life for each Zombie on the battlefield.
When [CARDNAME] enters the battlefield, you gain 1 life for each Zombie on the battlefield.
Whenever [CARDNAME] attacks, you may sacrifice another creature. When you do, return the sacrificed creature"
66,"When [CARDNAME] enters the battlefield, you may return target creature card with mana value 3 or less from your graveyard to the battlefield.
Destroy target artifact or enchantment.
Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target land.\n• Destroy target land.
Flash\nFlying\nWhen [CARDNAME] enters the battlefield, target creature gets +1/+1 until end of turn for each creature card in your graveyard.
[CARDNAME"
67,"When [CARDNAME] enters the battlefield, if it entered the battlefield under your control, choose one —\n• Create a 1/1 white and black Spirit creature token with flying.\n• Target creature gets +1/+1 and gains flying until end of turn.
Flying\nWhenever [CARDNAME] attacks, you may return target creature card with mana value less than or equal to the number of Swamps you control to its owner's hand.\n{T}: Add {W}.
Flying\n"
68,"When [CARDNAME] enters the battlefield, if it's attacking, tap target creature defending player controls.
When [CARDNAME] enters the battlefield, if it's attacking, if it's attacking, put a +1/+1 counter on target creature.
When [CARDNAME] enters the battlefield, if it's attacking, if it's attacking, put a +1/+1 counter on target creature.
Flash\nFlying, trample\nWhenever [CARDNAME] attacks, you may pay {X"
69,"When [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped unless you control two or more basic lands.\n{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped unless you control two or more basic lands."
70,"When [CARDNAME] enters the battlefield, if it's a creature, it gets +1/+1 until end of turn.
[CARDNAME] enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {W}.
{T}: Add {C}.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
{T}: Add {C}.\n{T}, Sacrifice ["
71,"When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.
When [CARDNAME] enters the battlefield, create a 1/1 white Human Soldier creature token.
Whenever [CARDNAME] attacks, if it's equipped, it gets +1/+0 until end of turn for each Equipment attached to it.\nEquip {1}
Equipped creature gets +1/+1 for each Equipment attached to it.\nEquip {1}
[CARDNAME"
72,"When [CARDNAME] enters the battlefield, you may pay {1}{G}. If you do, create a 1/1 white Human Soldier creature token.
{1}{G}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.\n{1}{G}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
{T}: Add {G}.\n{2}{"
73,"When [CARDNAME] enters the battlefield, you may sacrifice a Forest. If you do, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
[CARDNAME] enters the battlefield with two +1/+1 counters on it.\n{1}, Remove a +1/+1 counter from [CARDNAME]: Destroy target artifact or enchantment.
[CARDNAME] enters the battlefield tapped.\n[CARDNAME] can't be"
74,"When [CARDNAME] enters the battlefield, if you cast it, it becomes a copy of target nonbasic land you control, except it's a Forest in addition to its other types. It gains ""When this land enters the battlefield, if this land enters the battlefield, if this land enters the battlefield, if this land enters the battlefield, if this land enters the battlefield, or this land enters the battlefield.""
Flying, haste\nWhenever [CARDNAME] attacks, if you cast it, it gets +1/+0"
75,"When [CARDNAME] enters the battlefield, draw a card.
[CARDNAME] enters the battlefield tapped.\nWhen [CARDNAME] enters the battlefield, return a land you control to its owner's hand.\n{T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] enters the battlefield tapped.\nWhen [CARDNAME] enters the battlefield, return a land you control to its"
76,"When [CARDNAME] enters the battlefield, you may put target creature card with mana value 2 or less from your hand onto the battlefield.
When [CARDNAME] enters the battlefield, you may draw a card.
Whenever you cast a spell, [CARDNAME] deals 1 damage to any target.
Whenever a creature dies, you may pay {1}. If you do, draw a card.
Whenever you cast a spell, [CARDNAME] deals 1 damage to any target.
When [CARD"
77,"When [CARDNAME] enters the battlefield, choose a creature type.\nCreatures you control of the chosen type get +1/+1 for each creature type card in your graveyard.
{T}: Add {C}.\n{1}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
[CARDNAME] can't be blocked except by creatures with flying or reach.
Flying\n{T}: Add one mana"
78,"When [CARDNAME] enters the battlefield, you may pay {1}{U}. If you do, return target permanent to its owner's hand.
When [CARDNAME] enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Flying\nWhenever [CARDNAME] attacks, you may pay {1}{U}. If you do, target creature gets +3/+3 until end of turn.
When [CARDNAME] enters the"
