,generated_text
11,"When [CARDNAME] enters the battlefield, create a 4/4 green and white Citizen creature token with flying. (Any amount of damage it deals to a creature with flying isn't enough to destroy it.)
This is a nan, Artifact magic card with manacost {6}. This is its rules text: {6}, {T}: Target creature gets +6/+6 until end of turn.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {"
12,"When [CARDNAME] enters the battlefield, draw two cards.\n{4}, {T}: Draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: Draw a card, then discard a card.\n{3}, {T}: Draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: Draw a card, then discard"
13,"When [CARDNAME] enters the battlefield, exile it.\n{2}, {T}, Sacrifice [CARDNAME]: Exile target creature.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Return target creature you control to its owner's hand.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Return target creature you control to its owner's hand."
14,"When [CARDNAME] enters the battlefield, draw a card.\n{1}, {T}: Create a 1/1 colorless Djinn artifact creature token.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Exile target permanent you own. (It's an Equipment card with manacost {3}. This card's rules text: {T}, Sacrifice [CARDNAME]: Create a 1/1 colorless Djinn artifact creature token"
15,"When [CARDNAME] enters the battlefield, put a charge counter on [CARDNAME].\n{T}, Remove a charge counter from [CARDNAME]: Create a 0/1 green and white Citizen creature token.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Draw a card, then discard a card.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1},"
16,"When [CARDNAME] enters the battlefield, draw two cards.\n{T}, Sacrifice [CARDNAME]: Draw two cards.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Destroy target permanent.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {3}, {T}: Destroy target permanent.
This is a nan, Artifact magic card with manacost {4}."
17,"When [CARDNAME] enters the battlefield, draw two cards.\n{2}, {T}: Target creature gets +2/+2 until end of turn.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Target creature gains flying until end of turn.
"
18,"When [CARDNAME] enters the battlefield or attacks, put an instant or sorcery card from your hand on the bottom of your library in any order.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: You gain 4 life.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: You gain 4 life.
This is a nan, Artifact magic card with manac"
19,"When [CARDNAME] enters the battlefield, draw a card.\n{3}, {T}: Create a 1/1 green and white Citizen creature token with flying.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {4}, {T}: Target creature gets +2/+2 until end of turn.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Target creature gains flying until"
20,"When [CARDNAME] enters the battlefield, create a 2/2 white Zombie creature token with flying. (It can't be blocked except by artifact creatures and/or black creatures.)
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Create a 1/1 white Angel creature token with flying named Wasp.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {3}, {T}:"
21,"When [CARDNAME] enters the battlefield, you may pay {2}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Target player mills two cards.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Target player mills two cards.
This is a nan, Artifact magic card with manacost {3}. This"
22,"When [CARDNAME] enters the battlefield, if it was your turn, you gain X life, where X is the number of cards in your hand minus 4.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Draw a"
23,"When [CARDNAME] enters the battlefield, draw a card.\n{4}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: Equipped creature gets +1/+1.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)
This is a nan"
24,"When [CARDNAME] enters the battlefield, draw a card.\n{T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Exile target permanent you own.\n{1}, {T}, Sacrifice [CARDNAME]: Exile all graveyards.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Exile target"
25,"When [CARDNAME] enters the battlefield, draw two cards.\n{1}, {T}: Draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Draw a card, then discard a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Target creature gets +3/+2 until end of turn.
This is a nan,"
26,"When [CARDNAME] enters the battlefield, draw two cards.\nCreatures you control get +1/+1 for each card in their owner's graveyard.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Put a charge counter on [CARDNAME].\n{2}, {T}, Remove a charge counter from [CARDNAME]: Add one mana of any color.
This is a nan, Artifact magic card with manac"
27,"When [CARDNAME] enters the battlefield, draw a card.\n{1}, {T}: Draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Target player mills two cards.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Target player mills two cards.
This is a nan, Artifact magic card with manacost {2"
28,"When [CARDNAME] enters the battlefield, draw two cards.\n{2}, {T}: Create a 1/1 green and white Citizen creature token.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Destroy all artifacts, creatures, and enchantments.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Add {C}{C}.
This is"
29,"When [CARDNAME] enters the battlefield, exile it.\n{T}, Remove a charge counter from [CARDNAME]: Add {C} for each charge counter removed this way.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact"
30,"When [CARDNAME] enters the battlefield, exile it.\n{T}: Add one mana of any color.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: Equipped creature gets +2/+2.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
This is a nan, Artifact magic card with manacost {4}. This is its rules text: Equipped creature gets +2/+"
31,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, scry 1.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: You may choose not to untap [CARDNAME] during your untap step.\n{1}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {T}, Sacrifice [CARDNAME]:"
32,"When [CARDNAME] enters the battlefield, exile it.\n{2}, {T}: Untap [CARDNAME].
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Exile target creature you control.\n{2}, {T}: Exile target creature you control.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Exile target creature you control"
33,"When [CARDNAME] enters the battlefield, pay {2}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Target creature gains control of target creature until end of turn. That creature's controller mills a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}: Create a token that's a copy of [CARD"
34,"When [CARDNAME] enters the battlefield, you may pay {2}. If you do, create a token that's a copy of [CARDNAME]. (a token with ""When this permanent enters the battlefield,"" also enters the battlefield with a +1/+1 counter on it. Whenever you cast a spell, you may pay {1}. If you do, create a token that's a copy of [CARDNAME]. (a token with ""When this permanent enters the battlefield,"" also enters the battlefield with a +1/+"
35,"When [CARDNAME] enters the battlefield, draw two cards.\n{T}: Add one mana of any color.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}: Destroy all artifacts, creatures, and enchantments.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}: Destroy all artifacts, creatures, and enchantments.
This is a nan, Artifact"
36,"When [CARDNAME] enters the battlefield, draw two cards.\n{1}, {T}, Sacrifice [CARDNAME]: Draw two cards.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}, Sacrifice [CARDNAME]: Draw two cards.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}, Sacrifice [CARDNAME]: Draw two cards.
"
37,"When [CARDNAME] enters the battlefield, exile it.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {5}. This is its rules text: {1}, {T}:"
38,"When [CARDNAME] enters the battlefield, exile target permanent an opponent controls.
This is a nan, Artifact magic card with manacost {6}. This is its rules text: {2}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {5}. This is its rules text: {5}, {T}: Target creature gets +5/+5 until end of turn.
This is a nan, Artifact magic card with manacost {4"
39,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Exile target card from a graveyard into exile from another player's graveyard.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Exile target creature.
This is a nan, Artifact magic card with man"
40,"When [CARDNAME] enters the battlefield, you may pay {2}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {3}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {"
41,"When [CARDNAME] enters the battlefield, draw a card.\n{2}, {T}, Sacrifice [CARDNAME]: Add two mana of any one color.
This is a nan, Artifact magic card with manacost {5}. This is its rules text: {2}, {T}: Target creature gains flying until end of turn.\n{2}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {4}. This is"
42,"When [CARDNAME] enters the battlefield, if you control three or more artifacts, you may pay {1}. If you do, create a Treasure token.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Exile target permanent an opponent controls.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Exile target permanent an opponent controls.
This is a nan,"
43,"When [CARDNAME] enters the battlefield, exile it.\n{3}, {T}: Create a 5/5 colorless Djinn artifact creature token with flying named Djinn.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic"
44,"When [CARDNAME] enters the battlefield, draw a card.\n{1}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Draw a card, then discard a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Draw a card, then discard a card.
This is"
45,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, copy that card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Put a charge counter on [CARDNAME].\n{3}, {T}, Remove a charge counter from [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: Equipped creature"
46,"When [CARDNAME] enters the battlefield, exile it.\n{T}, Remove a charge counter from [CARDNAME]: Create a 1/1 colorless Djinn artifact creature token with flying named Djinn.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Target player mills two cards.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Target"
47,"When [CARDNAME] enters the battlefield, create a 2/2 white Citizen creature token with flying named Citizen. (It's a Phyrexian in addition to its other types.)\n{4}, {T}: Create a 1/1 white Citizen creature token with flying named Citizen. (It's a Phyrexian in addition to its other types.)
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Exile target card from a"
48,"When [CARDNAME] enters the battlefield, exile it.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Return target creature card from your graveyard to your hand.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {"
49,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on it.\n{1}, {T}, Remove a +1/+1 counter from [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
This is a nan, Artifact magic card with"
50,"When [CARDNAME] enters the battlefield, target opponent mills a card.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Draw two cards, then discard a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Destroy all artifacts, creatures, and enchantments.
This is a nan, Artifact magic card with manacost {1}. This is"
51,"When [CARDNAME] enters the battlefield, draw two cards.\n{1}, {T}: Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Draw a card."")
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}:"
52,"When [CARDNAME] enters the battlefield, you may pay {3}. If you do, create a token that's a copy of [CARDNAME]. (a token with ""When this permanent enters the battlefield,"" also known as a ""land card,"" or ""land permanent card"" is a land that's no more than a nan, in addition to its other types and in addition to its controller's controller's controller's controller's controller's controller's controller's controller's controller's controller's controller's controller's controller's controller's"
53,"When [CARDNAME] enters the battlefield, flip it face up.
This is a nan, Artifact magic card with manacost {5}. This is its rules text: Whenever a player casts a spell, you may pay {2}. If you do, copy that spell.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: [CARDNAME] enters the battlefield tapped.\n{2}, {T}: Create a 1/1 colorless Insect artifact creature token"
54,"When [CARDNAME] enters the battlefield, put a +1/+1 counter on target creature.\n{2}, {T}, Remove a +1/+1 counter from [CARDNAME]: Create a 4/4 green and white Citizen creature token with vigilance and lifelink.\n{3}, {T}, Remove a +1/+1 counter from [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2"
55,"When [CARDNAME] enters the battlefield, draw a card.\n{4}, {T}: Target creature gets +1/-1 for as long as [CARDNAME] remains on the battlefield.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {3}, {T}: Target creature gains banding until end of turn. (Any creature with banding or blocking its movement costs {1 more to untap during your untap step.)
This is a nan"
56,"When [CARDNAME] enters the battlefield, exile it.\n{T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Destroy target permanent.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}, Sacrifice [CARDNAME]: Create a 2/2 colorless Insect artifact creature token with flying"
57,"When [CARDNAME] enters the battlefield, exile it face up.)
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Target player mills a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Target player mills a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {"
58,"When [CARDNAME] enters the battlefield, exile the top card of your library until you draw a card. You may cast that card without paying its mana cost.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
This is a nan, Artifact magic card with manacost {4}. This is its rules text"
59,"When [CARDNAME] enters the battlefield, draw two cards.\n{2}, {T}, Remove a card from your hand: Create a 2/2 colorless Eldrazi creature token with flying.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
This is a nan, Artifact magic card with manac"
60,"When [CARDNAME] enters the battlefield or is put into a graveyard from the battlefield, draw a card.
This is a nan, Artifact magic card with manacost {0}. This is its rules text: {T}: Add {C}.\n{1}, {T}: Draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Target creature gets +2/+2 until end of turn.
This is a nan"
61,"When [CARDNAME] enters the battlefield, exile the top two cards of your library. You may play those cards this way without paying their mana costs.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: [CARDNAME] doesn't untap during your untap step.\n{1}, {T}: Create a 0/0 colorless Phyrexian Germ creature token.\n{2}, {T}: Create a 0/0 colorless Phy"
62,"When [CARDNAME] enters the battlefield, exile it.\n{T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Roll a d20. If you're the only one with the result, roll a d20. If you lose the result, discard a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {3}, {T"
63,"When [CARDNAME] enters the battlefield, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land"
64,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}, Sacrifice [C"
65,"When [CARDNAME] enters the battlefield, draw a card.\n{2}, {T}: Create a token that's a copy of a creature card in your hand. You gain 1 life.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {5}. This is its rules text: {1}, {T}, Sacrifice"
66,"When [CARDNAME] enters the battlefield, draw two cards.\n{2}, {T}: Create a 2/2 colorless Djinn artifact creature token with flying named Djinn. (It can't be blocked except by creatures with flying or reach.)
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text"
67,"When [CARDNAME] enters the battlefield, create a 0/0 green and white Citizen creature token.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {3}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {1}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost"
68,"When [CARDNAME] enters the battlefield, put a -1/-1 counter on target creature.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2}, {T}: Draw two cards, then discard a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Put a charge counter on [CARDNAME].\n{3}, {T}: Put a charge counter on"
69,"When [CARDNAME] enters the battlefield, draw a card.\n{3}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named [CARDNAME]. (It can't be the target of spells or abilities your opponents control.)
This is a nan, Artifact magic card with manacost {4}. This is its rules text: Equipped creature gets +2/+2.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a"
70,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Target creature gets +2/-2 until end of turn."
71,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Look at target player's hand.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Look at target player's hand.
This is a nan, Artifact magic card with manacost {4"
72,"When [CARDNAME] enters the battlefield, you lose 1 life.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Create a 2/2 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {2}, {T}: Exile [CARDNAME] and"
73,"When [CARDNAME] enters the battlefield, put a charge counter on it.\n{T}, Remove a charge counter from [CARDNAME]: Create a 1/1 green and white Citizen creature token with flying named Citizen.\n{T}, Sacrifice [CARDNAME]: Create a 1/1 green and white Citizen creature token with flying named Citizen.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {T}: Add {C}.
This is a nan"
74,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, create a token that's a copy of [CARDNAME], except it's for only one turn.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {2}, {T}: Target creature gains flying until end of turn.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {T}: Target creature gains"
75,"When [CARDNAME] enters the battlefield, draw two cards.\n{T}: Add one mana of any color.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}: Put a charge counter on [CARDNAME].\n{2}, {T}, Remove a charge counter from [CARDNAME]: Create a 1/1 green and white Citizen creature token with flying, vigilance, trample and haste.
This is a nan,"
76,"When [CARDNAME] enters the battlefield, draw three cards.\n{3}, {T}: Destroy all artifacts, creatures, and enchantments.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {3"
77,"When [CARDNAME] enters the battlefield, exile it.\nAt the beginning of your upkeep, if [CARDNAME] is exiled with a creature card in its mana cost, you may pay {1}. If you do, create a token that's a copy of it, except it has haste.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Draw two cards, then discard a card.
This is a nan, Artifact magic"
78,"When [CARDNAME] enters the battlefield, draw a card.\n{2}, {T}, Remove a card from your graveyard: Create a 1/1 green and white Citizen creature token.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Destroy each nonland permanent with mana value equal to the sacrificed mana value of [CARDNAME].
This is a nan, Artifact magic card with manacost {"
79,"When [CARDNAME] enters the battlefield, draw two cards.\n{2}, {T}: Create a 2/2 colorless Djinn artifact creature token with flying.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {3}, {T}: Add {C}{C}.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Search your library for"
80,"When [CARDNAME] enters the battlefield, draw two cards.\n{4}, {T}: Put a charge counter on [CARDNAME].\n{4}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {3}, {T}: Target player mills a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {2},"
81,"When [CARDNAME] enters the battlefield, shuffle your hand.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {T}: Target player mills two cards.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {2}, {T}, Sacrifice [CARDNAME]: Draw a card.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {3}, {"
82,"When [CARDNAME] enters the battlefield, exile it.
This is a nan, Artifact magic card with manacost {2}. This is its rules text: Equipped creature gets +2/+2 and has protection from white and from black.\nEquip {2}
This is a nan, Artifact magic card with manacost {2}. This is its rules text: As long as [CARDNAME] is untapped, players can't untap more than two permanents.
This is a nan"
83,"When [CARDNAME] enters the battlefield, you may pay {1}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {3}, {T}: Create a token that's a copy of a basic land you control. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: Draw a card."")
This is a nan, Artifact magic card with manacost {2}. This is its rules text: {"
84,"When [CARDNAME] enters the battlefield, you may pay {2}. If you do, draw a card.
This is a nan, Artifact magic card with manacost {3}. This is its rules text: {1}, {T}: Create a 2/2 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)
This is a nan, Artifact magic card with manacost {4}. This is its rules text: {4}, {"
85,"When [CARDNAME] enters the battlefield], put a charge counter on [CARDNAME].\n{1}, {T}, Remove a charge counter from [CARDNAME]: Destroy target artifact or enchantment.
This is a nan, Artifact magic card with manacost {1}. This is its rules text: {1}, {T}: Exile target creature you control.\n{1}, {T}: Exile target creature you control without paying its mana cost.
This is a nan, Artifact magic card with manac"
